Time [y]:; Liquid Pressure [Pa]:obs_slope; Porosity:obs_slope; Permeability X [m^2]:obs_slope; Total Tracer_2 [M]:obs_slope; DIFF_SCALE(s) VF [m^3 mnrl/m^3 bulk]:obs_slope; DECAY_SCALE(s) VF [m^3 mnrl/m^3 bulk]:obs_slope; Fractional(s) VF [m^3 mnrl/m^3 bulk]:obs_slope; DIFF_SCALE(s) Rate [mol/m^3/sec]:obs_slope; DECAY_SCALE(s) Rate [mol/m^3/sec]:obs_slope; Fractional(s) Rate [mol/m^3/sec]:obs_slope; Tracer_2_im [mol/m^3]:obs_slope; Dissolutional Rate [mol/m^3-sec]:obs_slope; Liquid Pressure [Pa]:obs_lowest; Porosity:obs_lowest; Permeability X [m^2]:obs_lowest; Total Tracer_2 [M]:obs_lowest; DIFF_SCALE(s) VF [m^3 mnrl/m^3 bulk]:obs_lowest; DECAY_SCALE(s) VF [m^3 mnrl/m^3 bulk]:obs_lowest; Fractional(s) VF [m^3 mnrl/m^3 bulk]:obs_lowest; DIFF_SCALE(s) Rate [mol/m^3/sec]:obs_lowest; DECAY_SCALE(s) Rate [mol/m^3/sec]:obs_lowest; Fractional(s) Rate [mol/m^3/sec]:obs_lowest; Tracer_2_im [mol/m^3]:obs_lowest; Dissolutional Rate [mol/m^3-sec]:obs_lowest; Liquid Pressure [Pa]:HCD_slope; Porosity:HCD_slope; Permeability X [m^2]:HCD_slope; Total Tracer_2 [M]:HCD_slope; DIFF_SCALE(s) VF [m^3 mnrl/m^3 bulk]:HCD_slope; DECAY_SCALE(s) VF [m^3 mnrl/m^3 bulk]:HCD_slope; Fractional(s) VF [m^3 mnrl/m^3 bulk]:HCD_slope; DIFF_SCALE(s) Rate [mol/m^3/sec]:HCD_slope; DECAY_SCALE(s) Rate [mol/m^3/sec]:HCD_slope; Fractional(s) Rate [mol/m^3/sec]:HCD_slope; Tracer_2_im [mol/m^3]:HCD_slope; Dissolutional Rate [mol/m^3-sec]:HCD_slope; Liquid Pressure [Pa]:HCD_lowpoint; Porosity:HCD_lowpoint; Permeability X [m^2]:HCD_lowpoint; Total Tracer_2 [M]:HCD_lowpoint; DIFF_SCALE(s) VF [m^3 mnrl/m^3 bulk]:HCD_lowpoint; DECAY_SCALE(s) VF [m^3 mnrl/m^3 bulk]:HCD_lowpoint; Fractional(s) VF [m^3 mnrl/m^3 bulk]:HCD_lowpoint; DIFF_SCALE(s) Rate [mol/m^3/sec]:HCD_lowpoint; DECAY_SCALE(s) Rate [mol/m^3/sec]:HCD_lowpoint; Fractional(s) Rate [mol/m^3/sec]:HCD_lowpoint; Tracer_2_im [mol/m^3]:HCD_lowpoint; Dissolutional Rate [mol/m^3-sec]:HCD_lowpoint
0; 646935; 646935; 646935; 646935; 646935; 646935; 646935; 646935; 646935; 646935; 646935; 646935; 647477; 647477; 647477; 647477; 647477; 647477; 647477; 647477; 647477; 647477; 647477; 647477; 650475; 650475; 650475; 650475; 650475; 650475; 650475; 650475; 650475; 650475; 650475; 650475; 648717; 648717; 648717; 648717; 648717; 648717; 648717; 648717; 648717; 648717; 648717; 648717
[]; [1190.0, -595.0, 487.5]; [1190.0, -595.0, 487.5]; [1190.0, -595.0, 487.5]; [1190.0, -595.0, 487.5]; [1190.0, -595.0, 487.5]; [1190.0, -595.0, 487.5]; [1190.0, -595.0, 487.5]; [1190.0, -595.0, 487.5]; [1190.0, -595.0, 487.5]; [1190.0, -595.0, 487.5]; [1190.0, -595.0, 487.5]; [1190.0, -595.0, 487.5]; [2030.0, -535.0, 487.5]; [2030.0, -535.0, 487.5]; [2030.0, -535.0, 487.5]; [2030.0, -535.0, 487.5]; [2030.0, -535.0, 487.5]; [2030.0, -535.0, 487.5]; [2030.0, -535.0, 487.5]; [2030.0, -535.0, 487.5]; [2030.0, -535.0, 487.5]; [2030.0, -535.0, 487.5]; [2030.0, -535.0, 487.5]; [2030.0, -535.0, 487.5]; [1990.0, -175.0, 487.5]; [1990.0, -175.0, 487.5]; [1990.0, -175.0, 487.5]; [1990.0, -175.0, 487.5]; [1990.0, -175.0, 487.5]; [1990.0, -175.0, 487.5]; [1990.0, -175.0, 487.5]; [1990.0, -175.0, 487.5]; [1990.0, -175.0, 487.5]; [1990.0, -175.0, 487.5]; [1990.0, -175.0, 487.5]; [1990.0, -175.0, 487.5]; [1830.0, -385.0, 487.5]; [1830.0, -385.0, 487.5]; [1830.0, -385.0, 487.5]; [1830.0, -385.0, 487.5]; [1830.0, -385.0, 487.5]; [1830.0, -385.0, 487.5]; [1830.0, -385.0, 487.5]; [1830.0, -385.0, 487.5]; [1830.0, -385.0, 487.5]; [1830.0, -385.0, 487.5]; [1830.0, -385.0, 487.5]; [1830.0, -385.0, 487.5]
0.0;223701.1;8.9538e-06;9.379572e-15;1e-20;0.0;0.0;1e-20;0.0;0.0;0.0;1e-20;0.0;223571.8;2.506883e-06;1.182579e-15;1e-20;0.0;0.0;1e-20;0.0;0.0;0.0;1e-20;0.0;223576.8;0.0018;1e-18;1e-20;0.0;0.0;1e-20;0.0;0.0;0.0;1e-20;0.0;223597.0;9.991907e-06;3.618095e-15;1e-20;0.0;0.0;1e-20;0.0;0.0;0.0;1e-20;0.0
0.002739726;223701.1;8.9538e-06;9.379572e-15;9.999976e-21;0.0;0.0;1e-20;0.0;0.0;-0.0;1e-20;3.17e-35;223571.8;2.506883e-06;1.182579e-15;9.999997999999999e-21;0.0;0.0;1e-20;0.0;0.0;-0.0;1e-20;3.17e-35;223576.8;0.0018;1e-18;1e-20;0.0;0.0;1e-20;0.0;0.0;-0.0;1e-20;3.17e-35;223597.0;9.991907e-06;3.618095e-15;9.999996e-21;0.0;0.0;1e-20;0.0;0.0;-0.0;1e-20;3.17e-35
0.008219178;223701.1;8.9538e-06;9.379572e-15;9.999921e-21;0.0;0.0;1e-20;0.0;0.0;-0.0;1e-20;3.17e-35;223571.8;2.506883e-06;1.182579e-15;9.999995e-21;0.0;0.0;1e-20;0.0;0.0;-0.0;1e-20;3.17e-35;223576.8;0.0018;1e-18;1e-20;0.0;0.0;1e-20;0.0;0.0;-0.0;1e-20;3.17e-35;223597.0;9.991907e-06;3.618095e-15;9.999987e-21;0.0;0.0;1e-20;0.0;0.0;-0.0;1e-20;3.17e-35
0.01917808;223701.1;8.9538e-06;9.379572e-15;9.999788e-21;0.0;0.0;1e-20;0.0;0.0;-0.0;1e-20;3.17e-35;223571.8;2.506883e-06;1.182579e-15;9.999987e-21;0.0;0.0;1e-20;0.0;0.0;-0.0;1e-20;3.17e-35;223576.8;0.0018;1e-18;1e-20;0.0;0.0;1e-20;0.0;0.0;-0.0;1e-20;3.17e-35;223597.0;9.991907e-06;3.618095e-15;9.99997e-21;0.0;0.0;1e-20;0.0;0.0;-0.0;1e-20;3.17e-35
0.04109589;223701.1;8.9538e-06;9.379572e-15;9.999449999999999e-21;0.0;0.0;1e-20;0.0;0.0;-0.0;1e-20;3.17e-35;223571.8;2.506883e-06;1.182579e-15;9.999972e-21;0.0;0.0;1e-20;0.0;0.0;-0.0;1e-20;3.17e-35;223576.8;0.0018;1e-18;1e-20;0.0;0.0;1e-20;0.0;0.0;-0.0;1e-20;3.17e-35;223597.0;9.991907e-06;3.618095e-15;9.999934e-21;0.0;0.0;1e-20;0.0;0.0;-0.0;1e-20;3.17e-35
0.08493151;223701.1;8.9538e-06;9.379572e-15;9.998644e-21;0.0;0.0;1e-20;0.0;0.0;-0.0;1e-20;3.17e-35;223571.8;2.506883e-06;1.182579e-15;9.999943e-21;0.0;0.0;1e-20;0.0;0.0;-0.0;1e-20;3.17e-35;223576.8;0.0018;1e-18;1e-20;0.0;0.0;1e-20;0.0;0.0;-0.0;1e-20;3.17e-35;223597.0;9.991907e-06;3.618095e-15;9.999858e-21;0.0;0.0;1e-20;0.0;0.0;-0.0;1e-20;3.17e-35
0.1726027;223701.1;8.9538e-06;9.379572e-15;9.9971e-21;0.0;0.0;1e-20;0.0;0.0;-0.0;1e-20;3.17e-35;223571.8;2.506883e-06;1.182579e-15;9.999882e-21;0.0;0.0;1e-20;0.0;0.0;-0.0;1e-20;3.17e-35;223576.8;0.0018;1e-18;1e-20;0.0;0.0;1e-20;0.0;0.0;-0.0;1e-20;3.17e-35;223597.0;9.991907e-06;3.618095e-15;9.999696e-21;0.0;0.0;1e-20;0.0;0.0;-0.0;1e-20;3.17e-35
0.3479452;223701.1;8.9538e-06;9.379572e-15;9.995218e-21;0.0;0.0;1e-20;0.0;0.0;-0.0;1e-20;3.17e-35;223571.8;2.506883e-06;1.182579e-15;9.999759e-21;0.0;0.0;1e-20;0.0;0.0;-0.0;1e-20;3.17e-35;223576.8;0.0018;1e-18;1e-20;0.0;0.0;1e-20;0.0;0.0;-0.0;1e-20;3.17e-35;223597.0;9.991907e-06;3.618095e-15;9.999355e-21;0.0;0.0;1e-20;0.0;0.0;-0.0;1e-20;3.17e-35
0.6986301;223701.1;8.9538e-06;9.379572e-15;9.99422e-21;0.0;0.0;1e-20;0.0;0.0;-0.0;1e-20;3.17e-35;223571.8;2.506883e-06;1.182579e-15;9.999507e-21;0.0;0.0;1e-20;0.0;0.0;-0.0;1e-20;3.17e-35;223576.8;0.0018;1e-18;1e-20;0.0;0.0;1e-20;0.0;0.0;-0.0;1e-20;3.17e-35;223597.0;9.991907e-06;3.618095e-15;9.998658999999999e-21;0.0;0.0;1e-20;0.0;0.0;-0.0;1e-20;3.17e-35
1.0;223701.1;8.9538e-06;9.379572e-15;9.994223999999999e-21;0.0;0.0;1e-20;0.0;0.0;-0.0;1e-20;3.17e-35;223571.8;2.506883e-06;1.182579e-15;9.999288e-21;0.0;0.0;1e-20;0.0;0.0;-0.0;1e-20;3.17e-35;223576.8;0.0018;1e-18;1e-20;0.0;0.0;1e-20;0.0;0.0;-0.0;1e-20;3.17e-35;223597.0;9.991907e-06;3.618095e-15;9.998059e-21;0.0;0.0;1e-20;0.0;0.0;-0.0;1e-20;3.17e-35
1.70137;223701.1;8.9538e-06;9.379572e-15;9.995109e-21;0.0;0.0;1e-20;0.0;0.0;-0.0;1e-20;3.17e-35;223571.8;2.506883e-06;1.182579e-15;9.998761999999999e-21;0.0;0.0;1e-20;0.0;0.0;-0.0;1e-20;3.17e-35;223576.8;0.0018;1e-18;1e-20;0.0;0.0;1e-20;0.0;0.0;-0.0;1e-20;3.17e-35;223597.0;9.991907e-06;3.618095e-15;9.996594999999999e-21;0.0;0.0;1e-20;0.0;0.0;-0.0;1e-20;3.17e-35
2.0;223701.1;8.9538e-06;9.379572e-15;9.995539e-21;0.0;0.0;1e-20;0.0;0.0;-0.0;1e-20;3.17e-35;223571.8;2.506883e-06;1.182579e-15;9.998534e-21;0.0;0.0;1e-20;0.0;0.0;-0.0;1e-20;3.17e-35;223576.8;0.0018;1e-18;1e-20;0.0;0.0;1e-20;0.0;0.0;-0.0;1e-20;3.17e-35;223597.0;9.991907e-06;3.618095e-15;9.995954e-21;0.0;0.0;1e-20;0.0;0.0;-0.0;1e-20;3.17e-35
3.0;223701.1;8.9538e-06;9.379572e-15;1.0003949999999999e-20;0.0;0.0;1e-20;0.0;0.0;-0.0;1e-20;3.17e-35;223571.8;2.506883e-06;1.182579e-15;9.997688e-21;0.0;0.0;1e-20;0.0;0.0;-0.0;1e-20;3.17e-35;223576.8;0.0018;1e-18;1e-20;0.0;0.0;1e-20;0.0;0.0;-0.0;1e-20;3.17e-35;223597.0;9.991907e-06;3.618095e-15;9.99435e-21;0.0;0.0;1e-20;0.0;0.0;-0.0;1e-20;3.17e-35
4.0;223701.1;8.9538e-06;9.379572e-15;1.004164e-20;0.0;0.0;1e-20;0.0;0.0;-0.0;1e-20;3.17e-35;223571.8;2.506883e-06;1.182579e-15;9.996729e-21;0.0;0.0;1e-20;0.0;0.0;-0.0;1e-20;3.17e-35;223576.8;0.0018;1e-18;1e-20;0.0;0.0;1e-20;0.0;0.0;-0.0;1e-20;3.17e-35;223597.0;9.991907e-06;3.618095e-15;9.998842e-21;0.0;0.0;1e-20;0.0;0.0;-0.0;1e-20;3.17e-35
5.0;223701.1;8.9538e-06;9.379572e-15;1.015273e-20;0.0;0.0;1e-20;0.0;0.0;-0.0;1e-20;3.17e-35;223571.8;2.506883e-06;1.182579e-15;9.995641e-21;0.0;0.0;1e-20;0.0;0.0;-0.0;1e-20;3.17e-35;223576.8;0.0018;1e-18;1e-20;0.0;0.0;1e-20;0.0;0.0;-0.0;1e-20;3.17e-35;223597.0;9.991907e-06;3.618095e-15;1.0032299999999999e-20;0.0;0.0;1e-20;0.0;0.0;-0.0;1e-20;3.17e-35
6.0;223701.1;8.9538e-06;9.379572e-15;1.040221e-20;0.0;0.0;1e-20;0.0;0.0;-0.0;1.000001e-20;3.17e-35;223571.8;2.506883e-06;1.182579e-15;9.994437999999999e-21;0.0;0.0;1e-20;0.0;0.0;-0.0;1.000001e-20;3.17e-35;223576.8;0.0018;1e-18;1e-20;0.0;0.0;1e-20;0.0;0.0;-0.0;1.000001e-20;3.17e-35;223597.0;9.991907e-06;3.618095e-15;1.01636e-20;0.0;0.0;1e-20;0.0;0.0;-0.0;1.000001e-20;3.17e-35
7.0;223701.1;8.9538e-06;9.379572e-15;1.0867769999999999e-20;0.0;0.0;1e-20;0.0;0.0;-0.0;1.000001e-20;3.17e-35;223571.8;2.506883e-06;1.182579e-15;9.993207e-21;0.0;0.0;1e-20;0.0;0.0;-0.0;1.000001e-20;3.17e-35;223576.8;0.0018;1e-18;1e-20;0.0;0.0;1e-20;0.0;0.0;-0.0;1.000001e-20;3.17e-35;223597.0;9.991907e-06;3.618095e-15;1.055807e-20;0.0;0.0;1e-20;0.0;0.0;-0.0;1.000001e-20;3.17e-35
8.0;223701.1;8.9538e-06;9.379572e-15;1.162809e-20;0.0;0.0;1e-20;0.0;0.0;-0.0;1.000001e-20;3.17e-35;223571.8;2.506883e-06;1.182579e-15;9.992244e-21;0.0;0.0;1e-20;0.0;0.0;-0.0;1.000001e-20;3.17e-35;223576.8;0.0018;1e-18;1e-20;0.0;0.0;1e-20;0.0;0.0;-0.0;1.000001e-20;3.17e-35;223597.0;9.991907e-06;3.618095e-15;1.154827e-20;0.0;0.0;1e-20;0.0;0.0;-0.0;1.000001e-20;3.17e-35
9.0;223701.1;8.9538e-06;9.379572e-15;1.2752539999999999e-20;0.0;0.0;1e-20;0.0;0.0;-0.0;1.000001e-20;3.17e-35;223571.8;2.506883e-06;1.182579e-15;9.992434e-21;0.0;0.0;1e-20;0.0;0.0;-0.0;1.000001e-20;3.17e-35;223576.8;0.0018;1e-18;1e-20;0.0;0.0;1e-20;0.0;0.0;-0.0;1.000001e-20;3.17e-35;223597.0;9.991907e-06;3.618095e-15;1.371496e-20;0.0;0.0;1e-20;0.0;0.0;-0.0;1.000001e-20;3.17e-35
10.0;223701.1;8.9538e-06;9.379572e-15;1.429518e-20;0.0;0.0;1e-20;0.0;0.0;-0.0;1.000001e-20;3.17e-35;223571.8;2.506883e-06;1.182579e-15;9.996192e-21;0.0;0.0;1e-20;0.0;0.0;-0.0;1.000001e-20;3.17e-35;223576.8;0.0018;1e-18;1e-20;0.0;0.0;1e-20;0.0;0.0;-0.0;1.000001e-20;3.17e-35;223597.0;9.991907e-06;3.618095e-15;1.796089e-20;0.0;0.0;1e-20;0.0;0.0;-0.0;1.000001e-20;3.17e-35
11.40274;223701.1;8.9538e-06;9.379572e-15;1.737264e-20;0.0;0.0;1e-20;0.0;0.0;-0.0;1.000001e-20;3.17e-35;223571.8;2.506883e-06;1.182579e-15;1.003918e-20;0.0;0.0;1e-20;0.0;0.0;-0.0;1.000001e-20;3.17e-35;223576.8;0.0018;1e-18;1e-20;0.0;0.0;1e-20;0.0;0.0;-0.0;1.000001e-20;3.17e-35;223597.0;9.991907e-06;3.618095e-15;3.192636e-20;0.0;0.0;1e-20;0.0;0.0;-0.0;1.000001e-20;3.17e-35
14.20822;223701.1;8.9538e-06;9.379572e-15;2.78678e-20;0.0;0.0;1e-20;0.0;0.0;-0.0;1.000001e-20;3.17e-35;223571.8;2.506883e-06;1.182579e-15;1.504823e-20;0.0;0.0;1e-20;0.0;0.0;-0.0;1.000001e-20;3.17e-35;223576.8;0.0018;1e-18;1.000004e-20;0.0;0.0;1e-20;0.0;0.0;-0.0;1.000001e-20;3.17e-35;223597.0;9.991907e-06;3.618095e-15;1.413784e-19;0.0;0.0;1e-20;0.0;0.0;-0.0;1.000001e-20;3.17e-35
20.0;223701.1;8.9538e-06;9.379572e-15;9.010254e-20;0.0;0.0;1e-20;0.0;0.0;-0.0;1.000002e-20;3.17e-35;223571.8;2.506883e-06;1.182579e-15;6.865171999999999e-19;0.0;0.0;1e-20;0.0;0.0;-0.0;1.000002e-20;3.17e-35;223576.8;0.0018;1e-18;1.00059e-20;0.0;0.0;1e-20;0.0;0.0;-0.0;1.000002e-20;3.17e-35;223597.0;9.991907e-06;3.618095e-15;1.439541e-18;0.0;0.0;1e-20;0.0;0.0;-0.0;1.000002e-20;3.17e-35
25.61096;223701.1;8.9538e-06;9.379572e-15;2.1592639999999998e-19;0.0;0.0;1e-20;0.0;0.0;-0.0;1.000003e-20;3.17e-35;223571.8;2.506883e-06;1.182579e-15;3.491429e-18;0.0;0.0;1e-20;0.0;0.0;-0.0;1.000003e-20;3.17e-35;223576.8;0.0018;1e-18;1.0033119999999999e-20;0.0;0.0;1e-20;0.0;0.0;-0.0;1.000003e-20;3.17e-35;223597.0;9.991907e-06;3.618095e-15;4.553397e-18;0.0;0.0;1e-20;0.0;0.0;-0.0;1.000003e-20;3.17e-35
30.0;223701.1;8.9538e-06;9.379572e-15;3.6617879999999996e-19;0.0;0.0;1e-20;0.0;0.0;-0.0;1.000003e-20;3.17e-35;223571.8;2.506883e-06;1.182579e-15;8.138041e-18;0.0;0.0;1e-20;0.0;0.0;-0.0;1.000003e-20;3.17e-35;223576.8;0.0018;1e-18;1.008142e-20;0.0;0.0;1e-20;0.0;0.0;-0.0;1.000003e-20;3.17e-35;223597.0;9.991907e-06;3.618095e-15;8.541418e-18;0.0;0.0;1e-20;0.0;0.0;-0.0;1.000003e-20;3.17e-35
40.0;223701.1;8.9538e-06;9.379572e-15;1.005951e-18;0.0;0.0;1e-20;0.0;0.0;-0.0;1.000004e-20;3.17e-35;223571.8;2.506883e-06;1.182579e-15;4.631691e-17;0.0;0.0;1e-20;0.0;0.0;-0.0;1.000004e-20;3.17e-35;223576.8;0.0018;1e-18;1.067677e-20;0.0;0.0;1e-20;0.0;0.0;-0.0;1.000004e-20;3.17e-35;223597.0;9.991907e-06;3.618095e-15;2.786889e-17;0.0;0.0;1e-20;0.0;0.0;-0.0;1.000004e-20;3.17e-35
50.0;223701.1;8.9538e-06;9.379572e-15;1.922741e-18;0.0;0.0;1e-20;0.0;0.0;-0.0;1.000005e-20;3.17e-35;223571.8;2.506883e-06;1.182579e-15;1.197999e-16;0.0;0.0;1e-20;0.0;0.0;-0.0;1.000005e-20;3.17e-35;223576.8;0.0018;1e-18;1.220647e-20;0.0;0.0;1e-20;0.0;0.0;-0.0;1.000005e-20;3.17e-35;223597.0;9.991907e-06;3.618095e-15;5.733814e-17;0.0;0.0;1e-20;0.0;0.0;-0.0;1.000005e-20;3.17e-35
60.0;223701.1;8.9538e-06;9.379572e-15;3.104646e-18;0.0;0.0;1e-20;0.0;0.0;-0.0;1.000006e-20;3.17e-35;223571.8;2.506883e-06;1.182579e-15;2.27825e-16;0.0;0.0;1e-20;0.0;0.0;-0.0;1.000006e-20;3.17e-35;223576.8;0.0018;1e-18;1.512996e-20;0.0;0.0;1e-20;0.0;0.0;-0.0;1.000006e-20;3.17e-35;223597.0;9.991907e-06;3.618095e-15;9.621763000000001e-17;0.0;0.0;1e-20;0.0;0.0;-0.0;1.000006e-20;3.17e-35
70.0;223701.1;8.9538e-06;9.379572e-15;4.558273e-18;0.0;0.0;1e-20;0.0;0.0;-0.0;1.000007e-20;3.17e-35;223571.8;2.506883e-06;1.182579e-15;3.646962e-16;0.0;0.0;1e-20;0.0;0.0;-0.0;1.000007e-20;3.17e-35;223576.8;0.0018;1e-18;1.985902e-20;0.0;0.0;1e-20;0.0;0.0;-0.0;1.000007e-20;3.17e-35;223597.0;9.991907e-06;3.618095e-15;1.440651e-16;0.0;0.0;1e-20;0.0;0.0;-0.0;1.000007e-20;3.17e-35
80.0;223701.1;8.9538e-06;9.379572e-15;6.291945e-18;0.0;0.0;1e-20;0.0;0.0;-0.0;1.0000079999999999e-20;3.17e-35;223571.8;2.506883e-06;1.182579e-15;5.237145e-16;0.0;0.0;1e-20;0.0;0.0;-0.0;1.0000079999999999e-20;3.17e-35;223576.8;0.0018;1e-18;2.6740929999999998e-20;0.0;0.0;1e-20;0.0;0.0;-0.0;1.0000079999999999e-20;3.17e-35;223597.0;9.991907e-06;3.618095e-15;2.007175e-16;0.0;0.0;1e-20;0.0;0.0;-0.0;1.0000079999999999e-20;3.17e-35
90.0;223701.1;8.9538e-06;9.379572e-15;8.298516000000001e-18;0.0;0.0;1e-20;0.0;0.0;-0.0;1.0000089999999999e-20;3.17e-35;223571.8;2.506883e-06;1.182579e-15;6.993276e-16;0.0;0.0;1e-20;0.0;0.0;-0.0;1.0000089999999999e-20;3.17e-35;223576.8;0.0018;1e-18;3.6064669999999996e-20;0.0;0.0;1e-20;0.0;0.0;-0.0;1.0000089999999999e-20;3.17e-35;223597.0;9.991907e-06;3.618095e-15;2.659031e-16;0.0;0.0;1e-20;0.0;0.0;-0.0;1.0000089999999999e-20;3.17e-35
