Time [y]:; Liquid Pressure [Pa]:obs_slope; Porosity:obs_slope; Permeability X [m^2]:obs_slope; Total Tracer_2 [M]:obs_slope; DIFF_SCALE(s) VF [m^3 mnrl/m^3 bulk]:obs_slope; DECAY_SCALE(s) VF [m^3 mnrl/m^3 bulk]:obs_slope; Fractional(s) VF [m^3 mnrl/m^3 bulk]:obs_slope; DIFF_SCALE(s) Rate [mol/m^3/sec]:obs_slope; DECAY_SCALE(s) Rate [mol/m^3/sec]:obs_slope; Fractional(s) Rate [mol/m^3/sec]:obs_slope; Tracer_2_im [mol/m^3]:obs_slope; Dissolutional Rate [mol/m^3-sec]:obs_slope; Liquid Pressure [Pa]:obs_lowest; Porosity:obs_lowest; Permeability X [m^2]:obs_lowest; Total Tracer_2 [M]:obs_lowest; DIFF_SCALE(s) VF [m^3 mnrl/m^3 bulk]:obs_lowest; DECAY_SCALE(s) VF [m^3 mnrl/m^3 bulk]:obs_lowest; Fractional(s) VF [m^3 mnrl/m^3 bulk]:obs_lowest; DIFF_SCALE(s) Rate [mol/m^3/sec]:obs_lowest; DECAY_SCALE(s) Rate [mol/m^3/sec]:obs_lowest; Fractional(s) Rate [mol/m^3/sec]:obs_lowest; Tracer_2_im [mol/m^3]:obs_lowest; Dissolutional Rate [mol/m^3-sec]:obs_lowest; Liquid Pressure [Pa]:HCD_slope; Porosity:HCD_slope; Permeability X [m^2]:HCD_slope; Total Tracer_2 [M]:HCD_slope; DIFF_SCALE(s) VF [m^3 mnrl/m^3 bulk]:HCD_slope; DECAY_SCALE(s) VF [m^3 mnrl/m^3 bulk]:HCD_slope; Fractional(s) VF [m^3 mnrl/m^3 bulk]:HCD_slope; DIFF_SCALE(s) Rate [mol/m^3/sec]:HCD_slope; DECAY_SCALE(s) Rate [mol/m^3/sec]:HCD_slope; Fractional(s) Rate [mol/m^3/sec]:HCD_slope; Tracer_2_im [mol/m^3]:HCD_slope; Dissolutional Rate [mol/m^3-sec]:HCD_slope; Liquid Pressure [Pa]:HCD_lowpoint; Porosity:HCD_lowpoint; Permeability X [m^2]:HCD_lowpoint; Total Tracer_2 [M]:HCD_lowpoint; DIFF_SCALE(s) VF [m^3 mnrl/m^3 bulk]:HCD_lowpoint; DECAY_SCALE(s) VF [m^3 mnrl/m^3 bulk]:HCD_lowpoint; Fractional(s) VF [m^3 mnrl/m^3 bulk]:HCD_lowpoint; DIFF_SCALE(s) Rate [mol/m^3/sec]:HCD_lowpoint; DECAY_SCALE(s) Rate [mol/m^3/sec]:HCD_lowpoint; Fractional(s) Rate [mol/m^3/sec]:HCD_lowpoint; Tracer_2_im [mol/m^3]:HCD_lowpoint; Dissolutional Rate [mol/m^3-sec]:HCD_lowpoint
100.0;223701.1;8.9538e-06;9.379572e-15;1.054893e-17;0.0;0.0;1e-20;0.0;0.0;-0.0;1.0000099999999999e-20;3.17e-35;223571.8;2.506883e-06;1.182579e-15;8.875924e-16;0.0;0.0;1e-20;0.0;0.0;-0.0;1.0000099999999999e-20;3.17e-35;223576.8;0.0018;1e-18;4.807261e-20;0.0;0.0;1e-20;0.0;0.0;-0.0;1.0000099999999999e-20;3.17e-35;223597.0;9.991907e-06;3.618095e-15;3.389366e-16;0.0;0.0;1e-20;0.0;0.0;-0.0;1.0000099999999999e-20;3.17e-35
111.2219;223701.1;8.9538e-06;9.379572e-15;1.3312290000000001e-17;0.0;0.0;1e-20;0.0;0.0;-0.0;1.0000109999999999e-20;3.17e-35;223571.8;2.506883e-06;1.182579e-15;1.111101e-15;0.0;0.0;1e-20;0.0;0.0;-0.0;1.0000109999999999e-20;3.17e-35;223576.8;0.0018;1e-18;6.52101e-20;0.0;0.0;1e-20;0.0;0.0;-0.0;1.0000109999999999e-20;3.17e-35;223597.0;9.991907e-06;3.618095e-15;4.290679e-16;0.0;0.0;1e-20;0.0;0.0;-0.0;1.0000109999999999e-20;3.17e-35
133.6658;223701.1;8.9538e-06;9.379572e-15;1.9171320000000002e-17;0.0;0.0;1e-20;0.0;0.0;-0.0;1.000013e-20;3.17e-35;223571.8;2.506883e-06;1.182579e-15;1.588611e-15;0.0;0.0;1e-20;0.0;0.0;-0.0;1.000013e-20;3.17e-35;223576.8;0.0018;1e-18;1.155362e-19;0.0;0.0;1e-20;0.0;0.0;-0.0;1.000013e-20;3.17e-35;223597.0;9.991907e-06;3.618095e-15;6.246112e-16;0.0;0.0;1e-20;0.0;0.0;-0.0;1.000013e-20;3.17e-35
178.5534;223701.1;8.9538e-06;9.379572e-15;2.9636140000000004e-17;0.0;0.0;1e-20;0.0;0.0;-0.0;1.000018e-20;3.17e-35;223571.8;2.506883e-06;1.182579e-15;2.58027e-15;0.0;0.0;1e-20;0.0;0.0;-0.0;1.000018e-20;3.17e-35;223576.8;0.0018;1e-18;2.8235419999999997e-19;0.0;0.0;1e-20;0.0;0.0;-0.0;1.000018e-20;3.17e-35;223597.0;9.991907e-06;3.618095e-15;9.934415e-16;0.0;0.0;1e-20;0.0;0.0;-0.0;1.000018e-20;3.17e-35
200.0;223701.1;8.9538e-06;9.379572e-15;3.419882e-17;0.0;0.0;1e-20;0.0;0.0;-0.0;1.00002e-20;3.17e-35;223571.8;2.506883e-06;1.182579e-15;3.055812e-15;0.0;0.0;1e-20;0.0;0.0;-0.0;1.00002e-20;3.17e-35;223576.8;0.0018;1e-18;3.7702919999999996e-19;0.0;0.0;1e-20;0.0;0.0;-0.0;1.00002e-20;3.17e-35;223597.0;9.991907e-06;3.618095e-15;1.15912e-15;0.0;0.0;1e-20;0.0;0.0;-0.0;1.00002e-20;3.17e-35
289.7753;223701.1;8.9538e-06;9.379572e-15;4.7275050000000005e-17;0.0;0.0;1e-20;0.0;0.0;-0.0;1.000029e-20;3.17e-35;223571.8;2.506883e-06;1.182579e-15;4.995938e-15;0.0;0.0;1e-20;0.0;0.0;-0.0;1.000029e-20;3.17e-35;223576.8;0.0018;1e-18;1.012035e-18;0.0;0.0;1e-20;0.0;0.0;-0.0;1.000029e-20;3.17e-35;223597.0;9.991907e-06;3.618095e-15;1.683858e-15;0.0;0.0;1e-20;0.0;0.0;-0.0;1.000029e-20;3.17e-35
300.0;223701.1;8.9538e-06;9.379572e-15;4.8690230000000004e-17;0.0;0.0;1e-20;0.0;0.0;-0.0;1.00003e-20;3.17e-35;223571.8;2.506883e-06;1.182579e-15;5.216187e-15;0.0;0.0;1e-20;0.0;0.0;-0.0;1.00003e-20;3.17e-35;223576.8;0.0018;1e-18;1.087417e-18;0.0;0.0;1e-20;0.0;0.0;-0.0;1.00003e-20;3.17e-35;223597.0;9.991907e-06;3.618095e-15;1.741511e-15;0.0;0.0;1e-20;0.0;0.0;-0.0;1.00003e-20;3.17e-35
400.0;223701.1;8.9538e-06;9.379572e-15;5.936089e-17;0.0;0.0;1e-20;0.0;0.0;-0.0;1.00004e-20;3.17e-35;223571.8;2.506883e-06;1.182579e-15;7.360457e-15;0.0;0.0;1e-20;0.0;0.0;-0.0;1.00004e-20;3.17e-35;223576.8;0.0018;1e-18;2.10194e-18;0.0;0.0;1e-20;0.0;0.0;-0.0;1.00004e-20;3.17e-35;223597.0;9.991907e-06;3.618095e-15;2.212245e-15;0.0;0.0;1e-20;0.0;0.0;-0.0;1.00004e-20;3.17e-35
500.0;223701.1;8.9538e-06;9.379572e-15;6.892154e-17;0.0;0.0;1e-20;0.0;0.0;-0.0;1.0000499999999999e-20;3.17e-35;223571.8;2.506883e-06;1.182579e-15;9.542175e-15;0.0;0.0;1e-20;0.0;0.0;-0.0;1.0000499999999999e-20;3.17e-35;223576.8;0.0018;1e-18;3.391359e-18;0.0;0.0;1e-20;0.0;0.0;-0.0;1.0000499999999999e-20;3.17e-35;223597.0;9.991907e-06;3.618095e-15;2.651276e-15;0.0;0.0;1e-20;0.0;0.0;-0.0;1.0000499999999999e-20;3.17e-35
600.0;223701.1;8.9538e-06;9.379572e-15;7.822912e-17;0.0;0.0;1e-20;0.0;0.0;-0.0;1.00006e-20;3.17e-35;223571.8;2.506883e-06;1.182579e-15;1.178397e-14;0.0;0.0;1e-20;0.0;0.0;-0.0;1.00006e-20;3.17e-35;223576.8;0.0018;1e-18;4.959556e-18;0.0;0.0;1e-20;0.0;0.0;-0.0;1.00006e-20;3.17e-35;223597.0;9.991907e-06;3.618095e-15;3.085047e-15;0.0;0.0;1e-20;0.0;0.0;-0.0;1.00006e-20;3.17e-35
700.0;223701.1;8.9538e-06;9.379572e-15;8.759512000000001e-17;0.0;0.0;1e-20;0.0;0.0;-0.0;1.00007e-20;3.17e-35;223571.8;2.506883e-06;1.182579e-15;1.409358e-14;0.0;0.0;1e-20;0.0;0.0;-0.0;1.00007e-20;3.17e-35;223576.8;0.0018;1e-18;6.812755e-18;0.0;0.0;1e-20;0.0;0.0;-0.0;1.00007e-20;3.17e-35;223597.0;9.991907e-06;3.618095e-15;3.523299e-15;0.0;0.0;1e-20;0.0;0.0;-0.0;1.00007e-20;3.17e-35
800.0;223701.1;8.9538e-06;9.379572e-15;9.712238e-17;0.0;0.0;1e-20;0.0;0.0;-0.0;1.00008e-20;3.17e-35;223571.8;2.506883e-06;1.182579e-15;1.647209e-14;0.0;0.0;1e-20;0.0;0.0;-0.0;1.00008e-20;3.17e-35;223576.8;0.0018;1e-18;8.957838e-18;0.0;0.0;1e-20;0.0;0.0;-0.0;1.00008e-20;3.17e-35;223597.0;9.991907e-06;3.618095e-15;3.969185e-15;0.0;0.0;1e-20;0.0;0.0;-0.0;1.00008e-20;3.17e-35
900.0;223701.1;8.9538e-06;9.379572e-15;1.06842e-16;0.0;0.0;1e-20;0.0;0.0;-0.0;1.0000899999999999e-20;3.17e-35;223571.8;2.506883e-06;1.182579e-15;1.891819e-14;0.0;0.0;1e-20;0.0;0.0;-0.0;1.0000899999999999e-20;3.17e-35;223576.8;0.0018;1e-18;1.1401710000000001e-17;0.0;0.0;1e-20;0.0;0.0;-0.0;1.0000899999999999e-20;3.17e-35;223597.0;9.991907e-06;3.618095e-15;4.423544e-15;0.0;0.0;1e-20;0.0;0.0;-0.0;1.0000899999999999e-20;3.17e-35
1000.0;223701.1;8.9538e-06;9.379572e-15;1.167624e-16;0.0;0.0;1e-20;0.0;0.0;-0.0;1.0001e-20;3.17e-35;223571.8;2.506883e-06;1.182579e-15;2.14298e-14;0.0;0.0;1e-20;0.0;0.0;-0.0;1.0001e-20;3.17e-35;223576.8;0.0018;1e-18;1.4151100000000002e-17;0.0;0.0;1e-20;0.0;0.0;-0.0;1.0001e-20;3.17e-35;223597.0;9.991907e-06;3.618095e-15;4.886478e-15;0.0;0.0;1e-20;0.0;0.0;-0.0;1.0001e-20;3.17e-35
1179.551;223701.1;8.9538e-06;9.379572e-15;1.352241e-16;0.0;0.0;1e-20;0.0;0.0;-0.0;1.000118e-20;3.17e-35;223571.8;2.506883e-06;1.182579e-15;2.613857e-14;0.0;0.0;1e-20;0.0;0.0;-0.0;1.000118e-20;3.17e-35;223576.8;0.0018;1e-18;2.010918e-17;0.0;0.0;1e-20;0.0;0.0;-0.0;1.000118e-20;3.17e-35;223597.0;9.991907e-06;3.618095e-15;5.744515e-15;0.0;0.0;1e-20;0.0;0.0;-0.0;1.000118e-20;3.17e-35
1538.652;223701.1;8.9538e-06;9.379572e-15;1.747006e-16;0.0;0.0;1e-20;0.0;0.0;-0.0;1.0001539999999999e-20;3.17e-35;223571.8;2.506883e-06;1.182579e-15;3.627434e-14;0.0;0.0;1e-20;0.0;0.0;-0.0;1.0001539999999999e-20;3.17e-35;223576.8;0.0018;1e-18;3.6371170000000005e-17;0.0;0.0;1e-20;0.0;0.0;-0.0;1.0001539999999999e-20;3.17e-35;223597.0;9.991907e-06;3.618095e-15;7.560759e-15;0.0;0.0;1e-20;0.0;0.0;-0.0;1.0001539999999999e-20;3.17e-35
2000.0;223701.1;8.9538e-06;9.379572e-15;2.29535e-16;0.0;0.0;1e-20;0.0;0.0;-0.0;1.0002e-20;3.17e-35;223571.8;2.506883e-06;1.182579e-15;5.035469e-14;0.0;0.0;1e-20;0.0;0.0;-0.0;1.0002e-20;3.17e-35;223576.8;0.0018;1e-18;6.491750000000001e-17;0.0;0.0;1e-20;0.0;0.0;-0.0;1.0002e-20;3.17e-35;223597.0;9.991907e-06;3.618095e-15;1.004725e-14;0.0;0.0;1e-20;0.0;0.0;-0.0;1.0002e-20;3.17e-35
2718.203;223701.1;8.9538e-06;9.379572e-15;3.245985e-16;0.0;0.0;1e-20;0.0;0.0;-0.0;1.000272e-20;3.17e-35;223571.8;2.506883e-06;1.182579e-15;7.449885e-14;0.0;0.0;1e-20;0.0;0.0;-0.0;1.000272e-20;3.17e-35;223576.8;0.0018;1e-18;1.29436e-16;0.0;0.0;1e-20;0.0;0.0;-0.0;1.000272e-20;3.17e-35;223597.0;9.991907e-06;3.618095e-15;1.425612e-14;0.0;0.0;1e-20;0.0;0.0;-0.0;1.000272e-20;3.17e-35
3000.0;223701.1;8.9538e-06;9.379572e-15;3.633763e-16;0.0;0.0;1e-20;0.0;0.0;-0.0;1.0002999999999999e-20;3.17e-35;223571.8;2.506883e-06;1.182579e-15;8.429664e-14;0.0;0.0;1e-20;0.0;0.0;-0.0;1.0002999999999999e-20;3.17e-35;223576.8;0.0018;1e-18;1.579284e-16;0.0;0.0;1e-20;0.0;0.0;-0.0;1.0002999999999999e-20;3.17e-35;223597.0;9.991907e-06;3.618095e-15;1.595783e-14;0.0;0.0;1e-20;0.0;0.0;-0.0;1.0002999999999999e-20;3.17e-35
4000.0;223701.1;8.9538e-06;9.379572e-15;5.191982e-16;0.0;0.0;1e-20;0.0;0.0;-0.0;1.0004e-20;3.17e-35;223571.8;2.506883e-06;1.182579e-15;1.225771e-13;0.0;0.0;1e-20;0.0;0.0;-0.0;1.0004e-20;3.17e-35;223576.8;0.0018;1e-18;3.023105e-16;0.0;0.0;1e-20;0.0;0.0;-0.0;1.0004e-20;3.17e-35;223597.0;9.991907e-06;3.618095e-15;2.257704e-14;0.0;0.0;1e-20;0.0;0.0;-0.0;1.0004e-20;3.17e-35
5000.0;223701.1;8.9538e-06;9.379572e-15;6.930625e-16;0.0;0.0;1e-20;0.0;0.0;-0.0;1.0004999999999999e-20;3.17e-35;223571.8;2.506883e-06;1.182579e-15;1.639363e-13;0.0;0.0;1e-20;0.0;0.0;-0.0;1.0004999999999999e-20;3.17e-35;223576.8;0.0018;1e-18;4.927934e-16;0.0;0.0;1e-20;0.0;0.0;-0.0;1.0004999999999999e-20;3.17e-35;223597.0;9.991907e-06;3.618095e-15;2.973954e-14;0.0;0.0;1e-20;0.0;0.0;-0.0;1.0004999999999999e-20;3.17e-35
6000.0;223701.1;8.9538e-06;9.379572e-15;8.850056e-16;0.0;0.0;9.999999e-21;0.0;0.0;-0.0;1.0006e-20;3.17e-35;223571.8;2.506883e-06;1.182579e-15;2.080359e-13;0.0;0.0;9.999999e-21;0.0;0.0;-0.0;1.0006e-20;3.17e-35;223576.8;0.0018;1e-18;7.318969e-16;0.0;0.0;9.999999e-21;0.0;0.0;-0.0;1.0006e-20;3.17e-35;223597.0;9.991907e-06;3.618095e-15;3.741903e-14;0.0;0.0;9.999999e-21;0.0;0.0;-0.0;1.0006e-20;3.17e-35
7000.0;223701.1;8.9538e-06;9.379572e-15;1.095248e-15;0.0;0.0;9.999999e-21;0.0;0.0;-0.0;1.0006999999999999e-20;3.17e-35;223571.8;2.506883e-06;1.182579e-15;2.546059e-13;0.0;0.0;9.999999e-21;0.0;0.0;-0.0;1.0006999999999999e-20;3.17e-35;223576.8;0.0018;1e-18;1.021909e-15;0.0;0.0;9.999999e-21;0.0;0.0;-0.0;1.0006999999999999e-20;3.17e-35;223597.0;9.991907e-06;3.618095e-15;4.559715e-14;0.0;0.0;9.999999e-21;0.0;0.0;-0.0;1.0006999999999999e-20;3.17e-35
8000.0;223701.1;8.9538e-06;9.379572e-15;1.324173e-15;0.0;0.0;9.999999e-21;0.0;0.0;-0.0;1.0008e-20;3.17e-35;223571.8;2.506883e-06;1.182579e-15;3.03427e-13;0.0;0.0;9.999999e-21;0.0;0.0;-0.0;1.0008e-20;3.17e-35;223576.8;0.0018;1e-18;1.364937e-15;0.0;0.0;9.999999e-21;0.0;0.0;-0.0;1.0008e-20;3.17e-35;223597.0;9.991907e-06;3.618095e-15;5.426155e-14;0.0;0.0;9.999999e-21;0.0;0.0;-0.0;1.0008e-20;3.17e-35
9000.0;223701.1;8.9538e-06;9.379572e-15;1.572308e-15;0.0;0.0;9.999999e-21;0.0;0.0;-0.0;1.0009e-20;3.17e-35;223571.8;2.506883e-06;1.182579e-15;3.543194e-13;0.0;0.0;9.999999e-21;0.0;0.0;-0.0;1.0009e-20;3.17e-35;223576.8;0.0018;1e-18;1.762951e-15;0.0;0.0;9.999999e-21;0.0;0.0;-0.0;1.0009e-20;3.17e-35;223597.0;9.991907e-06;3.618095e-15;6.340468e-14;0.0;0.0;9.999999e-21;0.0;0.0;-0.0;1.0009e-20;3.17e-35
10000.0;223701.1;8.9538e-06;9.379572e-15;1.840302e-15;0.0;0.0;9.999999e-21;0.0;0.0;-0.0;1.001e-20;3.17e-35;223571.8;2.506883e-06;1.182579e-15;4.071341e-13;0.0;0.0;9.999999e-21;0.0;0.0;-0.0;1.001e-20;3.17e-35;223576.8;0.0018;1e-18;2.217806e-15;0.0;0.0;9.999999e-21;0.0;0.0;-0.0;1.001e-20;3.17e-35;223597.0;9.991907e-06;3.618095e-15;7.302276e-14;0.0;0.0;9.999999e-21;0.0;0.0;-0.0;1.001e-20;3.17e-35
11436.41;223701.1;8.9538e-06;9.379572e-15;2.268556e-15;0.0;0.0;9.999999e-21;0.0;0.0;-0.0;1.001143e-20;3.17e-35;223571.8;2.506883e-06;1.182579e-15;4.866166e-13;0.0;0.0;9.999999e-21;0.0;0.0;-0.0;1.001143e-20;3.17e-35;223576.8;0.0018;1e-18;2.993582e-15;0.0;0.0;9.999999e-21;0.0;0.0;-0.0;1.001143e-20;3.17e-35;223597.0;9.991907e-06;3.618095e-15;8.781901e-14;0.0;0.0;9.999999e-21;0.0;0.0;-0.0;1.001143e-20;3.17e-35
14309.22;223701.1;8.9538e-06;9.379572e-15;3.320091e-15;0.0;0.0;9.999999e-21;0.0;0.0;-0.0;1.0014299999999999e-20;3.17e-35;223571.8;2.506883e-06;1.182579e-15;6.58171e-13;0.0;0.0;9.999999e-21;0.0;0.0;-0.0;1.0014299999999999e-20;3.17e-35;223576.8;0.0018;1e-18;5.072339e-15;0.0;0.0;9.999999e-21;0.0;0.0;-0.0;1.0014299999999999e-20;3.17e-35;223597.0;9.991907e-06;3.618095e-15;1.214459e-13;0.0;0.0;9.999999e-21;0.0;0.0;-0.0;1.0014299999999999e-20;3.17e-35
20000.0;223701.1;8.9538e-06;9.379572e-15;6.319666e-15;0.0;0.0;9.999997999999999e-21;0.0;0.0;-0.0;1.0019989999999999e-20;3.17e-35;223571.8;2.506883e-06;1.182579e-15;1.038811e-12;0.0;0.0;9.999997999999999e-21;0.0;0.0;-0.0;1.0019989999999999e-20;3.17e-35;223576.8;0.0018;1e-18;1.152127e-14;0.0;0.0;9.999997999999999e-21;0.0;0.0;-0.0;1.0019989999999999e-20;3.17e-35;223597.0;9.991907e-06;3.618095e-15;2.050022e-13;0.0;0.0;9.999997999999999e-21;0.0;0.0;-0.0;1.0019989999999999e-20;3.17e-35
25745.62;223701.1;8.9538e-06;9.379572e-15;1.038306e-14;0.0;0.0;9.999997e-21;0.0;0.0;-0.0;1.002574e-20;3.169999e-35;223571.8;2.506883e-06;1.182579e-15;1.458931e-12;0.0;0.0;9.999997e-21;0.0;0.0;-0.0;1.002574e-20;3.169999e-35;223576.8;0.0018;1e-18;2.065745e-14;0.0;0.0;9.999997e-21;0.0;0.0;-0.0;1.002574e-20;3.169999e-35;223597.0;9.991907e-06;3.618095e-15;3.073533e-13;0.0;0.0;9.999997e-21;0.0;0.0;-0.0;1.002574e-20;3.169999e-35
30000.0;223701.1;8.9538e-06;9.379572e-15;1.397999e-14;0.0;0.0;9.999997e-21;0.0;0.0;-0.0;1.002999e-20;3.169999e-35;223571.8;2.506883e-06;1.182579e-15;1.787851e-12;0.0;0.0;9.999997e-21;0.0;0.0;-0.0;1.002999e-20;3.169999e-35;223576.8;0.0018;1e-18;2.895692e-14;0.0;0.0;9.999997e-21;0.0;0.0;-0.0;1.002999e-20;3.169999e-35;223597.0;9.991907e-06;3.618095e-15;3.930928e-13;0.0;0.0;9.999997e-21;0.0;0.0;-0.0;1.002999e-20;3.169999e-35
40000.0;223701.1;8.9538e-06;9.379572e-15;2.544079e-14;0.0;0.0;9.999996e-21;0.0;0.0;-0.0;1.0039989999999999e-20;3.169999e-35;223571.8;2.506883e-06;1.182579e-15;2.644136e-12;0.0;0.0;9.999996e-21;0.0;0.0;-0.0;1.0039989999999999e-20;3.169999e-35;223576.8;0.0018;1e-18;5.798594e-14;0.0;0.0;9.999996e-21;0.0;0.0;-0.0;1.0039989999999999e-20;3.169999e-35;223597.0;9.991907e-06;3.618095e-15;6.450857e-13;0.0;0.0;9.999996e-21;0.0;0.0;-0.0;1.0039989999999999e-20;3.169999e-35
50000.0;223701.1;8.9538e-06;9.379572e-15;3.935404e-14;0.0;0.0;9.999995e-21;0.0;0.0;-0.0;1.004998e-20;3.169999e-35;223571.8;2.506883e-06;1.182579e-15;3.572446e-12;0.0;0.0;9.999995e-21;0.0;0.0;-0.0;1.004998e-20;3.169999e-35;223576.8;0.0018;1e-18;9.736769e-14;0.0;0.0;9.999995e-21;0.0;0.0;-0.0;1.004998e-20;3.169999e-35;223597.0;9.991907e-06;3.618095e-15;9.394754e-13;0.0;0.0;9.999995e-21;0.0;0.0;-0.0;1.004998e-20;3.169999e-35
60000.0;223701.1;8.9538e-06;9.379572e-15;5.504123e-14;0.0;0.0;9.999994e-21;0.0;0.0;-0.0;1.005998e-20;3.169998e-35;223571.8;2.506883e-06;1.182579e-15;4.564231e-12;0.0;0.0;9.999994e-21;0.0;0.0;-0.0;1.005998e-20;3.169998e-35;223576.8;0.0018;1e-18;1.477238e-13;0.0;0.0;9.999994e-21;0.0;0.0;-0.0;1.005998e-20;3.169998e-35;223597.0;9.991907e-06;3.618095e-15;1.266807e-12;0.0;0.0;9.999994e-21;0.0;0.0;-0.0;1.005998e-20;3.169998e-35
70000.0;223701.1;8.9538e-06;9.379572e-15;7.182947e-14;0.0;0.0;9.999993e-21;0.0;0.0;-0.0;1.0069979999999999e-20;3.169998e-35;223571.8;2.506883e-06;1.182579e-15;5.612586e-12;0.0;0.0;9.999993e-21;0.0;0.0;-0.0;1.0069979999999999e-20;3.169998e-35;223576.8;0.0018;1e-18;2.094814e-13;0.0;0.0;9.999993e-21;0.0;0.0;-0.0;1.0069979999999999e-20;3.169998e-35;223597.0;9.991907e-06;3.618095e-15;1.617778e-12;0.0;0.0;9.999993e-21;0.0;0.0;-0.0;1.0069979999999999e-20;3.169998e-35
80000.0;223701.1;8.9538e-06;9.379572e-15;8.912654e-14;0.0;0.0;9.999992e-21;0.0;0.0;-0.0;1.007998e-20;3.169998e-35;223571.8;2.506883e-06;1.182579e-15;6.711665e-12;0.0;0.0;9.999992e-21;0.0;0.0;-0.0;1.007998e-20;3.169998e-35;223576.8;0.0018;1e-18;2.828975e-13;0.0;0.0;9.999992e-21;0.0;0.0;-0.0;1.007998e-20;3.169998e-35;223597.0;9.991907e-06;3.618095e-15;1.984143e-12;0.0;0.0;9.999992e-21;0.0;0.0;-0.0;1.007998e-20;3.169998e-35
90000.0;223701.1;8.9538e-06;9.379572e-15;1.064535e-13;0.0;0.0;9.999991e-21;0.0;0.0;-0.0;1.0089969999999999e-20;3.169997e-35;223571.8;2.506883e-06;1.182579e-15;7.856319e-12;0.0;0.0;9.999991e-21;0.0;0.0;-0.0;1.0089969999999999e-20;3.169997e-35;223576.8;0.0018;1e-18;3.680862e-13;0.0;0.0;9.999991e-21;0.0;0.0;-0.0;1.0089969999999999e-20;3.169997e-35;223597.0;9.991907e-06;3.618095e-15;2.359095e-12;0.0;0.0;9.999991e-21;0.0;0.0;-0.0;1.0089969999999999e-20;3.169997e-35
100000.0;223701.1;8.9538e-06;9.379572e-15;1.2345e-13;0.0;0.0;9.99999e-21;0.0;0.0;-0.0;1.009997e-20;3.169997e-35;223571.8;2.506883e-06;1.182579e-15;9.041839e-12;0.0;0.0;9.99999e-21;0.0;0.0;-0.0;1.009997e-20;3.169997e-35;223576.8;0.0018;1e-18;4.650453e-13;0.0;0.0;9.99999e-21;0.0;0.0;-0.0;1.009997e-20;3.169997e-35;223597.0;9.991907e-06;3.618095e-15;2.737337e-12;0.0;0.0;9.99999e-21;0.0;0.0;-0.0;1.009997e-20;3.169997e-35
